"","Name","ID","Description","Gene Width","Sum of Exon Widths","Number of Exons","Class","InterPro Accession"
"ENSG00000177669.4","MBOAT4","ENSG00000177669.4","membrane bound O-acyltransferase domain containing 4",12995,1644,3,"protein_coding","IPR004299"
"ENSG00000104671.8","DCTN6","ENSG00000104671.8","dynactin subunit 6",27321,4750,36,"protein_coding","IPR011004"
"ENSG00000157110.16","RBPMS","ENSG00000157110.16","RNA binding protein, mRNA processing factor",187746,23435,116,"protein_coding","IPR000504"
"ENSG00000197265.9","GTF2E2","ENSG00000197265.9","general transcription factor IIE subunit 2",79919,4430,31,"protein_coding","IPR003166"
"ENSG00000253457.4","SMIM18","ENSG00000253457.4","small integral membrane protein 18",7485,925,3,"protein_coding","IPR031671"
"ENSG00000104687.14","GSR","ENSG00000104687.14","glutathione-disulfide reductase",49781,13350,93,"protein_coding","IPR001100"
"ENSG00000104691.16","UBXN8","ENSG00000104691.16","UBX domain protein 8",37876,10029,58,"protein_coding","IPR001012"
"ENSG00000104695.13","PPP2CB","ENSG00000104695.13","protein phosphatase 2 catalytic subunit beta",39858,7662,34,"protein_coding",""
"ENSG00000133863.9","TEX15","ENSG00000133863.9","testis expressed 15, meiosis and synapsis associated",81465,33504,30,"protein_coding","IPR022188"
"ENSG00000172733.12","PURG","ENSG00000172733.12","purine rich element binding protein G",37914,7777,5,"protein_coding","IPR006628"
"ENSG00000165392.11","WRN","ENSG00000165392.11","WRN RecQ like helicase",142351,18247,102,"protein_coding",""
"ENSG00000157168.22","NRG1","ENSG00000157168.22","neuregulin 1",1216445,97064,274,"protein_coding","IPR000742"
"ENSG00000286131.1","ENSG00000286131","ENSG00000286131.1","novel protein",189,189,1,"protein_coding",""
"ENSG00000172728.16","FUT10","ENSG00000172728.16","fucosyltransferase 10",102323,16459,39,"protein_coding","IPR001503"
"ENSG00000129696.13","TTI2","ENSG00000129696.13","TELO2 interacting protein 2",39800,10633,38,"protein_coding","IPR016024"
"ENSG00000198042.11","MAK16","ENSG00000198042.11","MAK16 homolog",16081,6143,30,"protein_coding","IPR006958"
"ENSG00000133874.2","RNF122","ENSG00000133874.2","ring finger protein 122",19375,1872,6,"protein_coding","IPR001841"
"ENSG00000133878.9","DUSP26","ENSG00000133878.9","dual specificity phosphatase 26",8694,3856,10,"protein_coding","IPR000340"
"ENSG00000156687.11","UNC5D","ENSG00000156687.11","unc-5 netrin receptor D",561076,36140,97,"protein_coding","IPR000488"
"ENSG00000215262.8","KCNU1","ENSG00000215262.8","potassium calcium-activated channel subfamily U member 1",151802,9344,70,"protein_coding","IPR005821"
"ENSG00000183779.7","ZNF703","ENSG00000183779.7","zinc finger protein 703",4238,3316,2,"protein_coding","IPR013087"
"ENSG00000147475.17","ERLIN2","ENSG00000147475.17","ER lipid raft associated 2",21822,18512,77,"protein_coding","IPR001107"
"ENSG00000147471.12","PLPBP","ENSG00000147471.12","pyridoxal phosphate binding protein",17174,6888,40,"protein_coding","IPR011078"
"ENSG00000020181.18","ADGRA2","ENSG00000020181.18","adhesion G protein-coupled receptor A2",60706,13785,41,"protein_coding","IPR000483"
"ENSG00000104221.14","BRF2","ENSG00000104221.14","BRF2 RNA polymerase III transcription initiation factor subunit",6594,11008,24,"protein_coding",""
"ENSG00000156675.16","RAB11FIP1","ENSG00000156675.16","RAB11 family interacting protein 1",40880,23670,24,"protein_coding","IPR000008"
"ENSG00000169154.7","GOT1L1","ENSG00000169154.7","glutamic-oxaloacetic transaminase 1 like 1",5844,2470,15,"protein_coding","IPR000796"
"ENSG00000285880.1","ENSG00000285880","ENSG00000285880.1","ADRB3-GOT1L1 readthrough",31614,1565,2,"protein_coding","IPR000276"
"ENSG00000188778.6","ADRB3","ENSG00000188778.6","adrenoceptor beta 3",3610,4209,3,"protein_coding","IPR000276"
"ENSG00000187840.5","EIF4EBP1","ENSG00000187840.5","eukaryotic translation initiation factor 4E binding protein 1",29832,1522,6,"protein_coding","IPR008606"
"ENSG00000129691.16","ASH2L","ENSG00000129691.16","ASH2 like, histone lysine methyltransferase complex subunit",38584,18640,104,"protein_coding","IPR001870"
"ENSG00000147465.12","STAR","ENSG00000147465.12","steroidogenic acute regulatory protein",8293,7163,20,"protein_coding","IPR000799"
"ENSG00000175324.10","LSM1","ENSG00000175324.10","LSM1 homolog, mRNA degradation associated",13396,4925,20,"protein_coding","IPR001163"
"ENSG00000156735.11","BAG4","ENSG00000156735.11","BAG cochaperone 4",36769,7389,15,"protein_coding","IPR003103"
"ENSG00000085788.14","DDHD2","ENSG00000085788.14","DDHD domain containing 2",50341,30331,141,"protein_coding","IPR004170"
"ENSG00000147535.17","PLPP5","ENSG00000147535.17","phospholipid phosphatase 5",6114,13536,69,"protein_coding","IPR000326"
"ENSG00000147548.17","NSD3","ENSG00000147548.17","nuclear receptor binding SET domain protein 3",112569,31768,102,"protein_coding","IPR000313"
"ENSG00000165046.13","LETM2","ENSG00000165046.13","leucine zipper and EF-hand containing transmembrane protein 2",23321,21490,103,"protein_coding","IPR045742"
"ENSG00000077782.23","FGFR1","ENSG00000077782.23","fibroblast growth factor receptor 1",68620,138139,557,"protein_coding",""
"ENSG00000147526.20","TACC1","ENSG00000147526.20","transforming acidic coiled-coil containing protein 1",124843,63587,198,"protein_coding","IPR007707"
"ENSG00000169499.15","PLEKHA2","ENSG00000169499.15","pleckstrin homology domain containing A2",72678,15726,59,"protein_coding","IPR001849"
"ENSG00000169495.5","HTRA4","ENSG00000169495.5","HtrA serine peptidase 4",14436,2032,9,"protein_coding","IPR000867"
"ENSG00000169490.17","TM2D2","ENSG00000169490.17","TM2 domain containing 2",8017,12039,32,"protein_coding","IPR007829"
"ENSG00000168615.13","ADAM9","ENSG00000168615.13","ADAM metallopeptidase domain 9",108692,116586,526,"protein_coding",""
"ENSG00000197140.15","ADAM32","ENSG00000197140.15","ADAM metallopeptidase domain 32",177928,18552,118,"protein_coding","IPR002870"
"ENSG00000168619.16","ADAM18","ENSG00000168619.16","ADAM metallopeptidase domain 18",145577,10745,84,"protein_coding",""
"ENSG00000104755.16","ADAM2","ENSG00000104755.16","ADAM metallopeptidase domain 2",94493,10643,89,"protein_coding","IPR001590"
"ENSG00000131203.13","IDO1","ENSG00000131203.13","indoleamine 2,3-dioxygenase 1",26516,9179,58,"protein_coding","IPR000898"
"ENSG00000188676.15","IDO2","ENSG00000188676.15","indoleamine 2,3-dioxygenase 2",81779,8503,26,"protein_coding","IPR000898"
"ENSG00000176907.5","TCIM","ENSG00000176907.5","transcriptional and immune response regulator",1829,1829,1,"protein_coding","IPR020282"
"ENSG00000165061.15","ZMAT4","ENSG00000165061.15","zinc finger matrin-type 4",367244,8785,42,"protein_coding","IPR003604"
"ENSG00000104332.12","SFRP1","ENSG00000104332.12","secreted frizzled related protein 1",47512,8337,6,"protein_coding","IPR001134"
"ENSG00000147533.19","GOLGA7","ENSG00000147533.19","golgin A7",22896,68640,175,"protein_coding","IPR019383"
"ENSG00000147536.12","GINS4","ENSG00000147536.12","GINS complex subunit 4",15813,13432,45,"protein_coding",""
"ENSG00000158669.11","GPAT4","ENSG00000158669.11","glycerol-3-phosphate acyltransferase 4",47815,14568,54,"protein_coding","IPR002123"
"ENSG00000165066.13","NKX6-3","ENSG00000165066.13","NK6 homeobox 3",5641,4078,5,"protein_coding","IPR000047"
"ENSG00000029534.22","ANK1","ENSG00000029534.22","ankyrin 1",243522,55795,309,"protein_coding","IPR000488"
"ENSG00000083168.11","KAT6A","ENSG00000083168.11","lysine acetyltransferase 6A",122516,77993,172,"protein_coding","IPR001965"
"ENSG00000070718.13","AP3M2","ENSG00000070718.13","adaptor related protein complex 3 subunit mu 2",18728,18511,78,"protein_coding","IPR001392"
"ENSG00000104368.19","PLAT","ENSG00000104368.19","plasminogen activator, tissue type",32992,33940,170,"protein_coding","IPR000001"
"ENSG00000104365.16","IKBKB","ENSG00000104365.16","inhibitor of nuclear factor kappa B kinase subunit beta",61159,66696,375,"protein_coding","IPR000626"
"ENSG00000070501.12","POLB","ENSG00000070501.12","DNA polymerase beta",33355,12855,119,"protein_coding","IPR018944"
"ENSG00000104371.5","DKK4","ENSG00000104371.5","dickkopf WNT signaling pathway inhibitor 4",3167,896,4,"protein_coding","IPR006796"
"ENSG00000078668.14","VDAC3","ENSG00000078668.14","voltage dependent anion channel 3",14314,8964,80,"protein_coding","IPR001925"
"ENSG00000168575.11","SLC20A2","ENSG00000168575.11","solute carrier family 20 member 2",125452,32690,115,"protein_coding","IPR001204"
"ENSG00000176209.12","SMIM19","ENSG00000176209.12","small integral membrane protein 19",14041,10664,28,"protein_coding","IPR029368"
"ENSG00000147432.7","CHRNB3","ENSG00000147432.7","cholinergic receptor nicotinic beta 3 subunit",40042,3415,14,"protein_coding",""
"ENSG00000147434.9","CHRNA6","ENSG00000147434.9","cholinergic receptor nicotinic alpha 6 subunit",43773,5960,23,"protein_coding","IPR002394"
"ENSG00000131931.8","THAP1","ENSG00000131931.8","THAP domain containing 1",6652,5040,10,"protein_coding","IPR006612"
"ENSG00000120925.16","RNF170","ENSG00000120925.16","ring finger protein 170",47654,16316,53,"protein_coding","IPR001841"
"ENSG00000168172.9","HOOK3","ENSG00000168172.9","hook microtubule tethering protein 3",133590,21180,76,"protein_coding","IPR001715"
"ENSG00000254673.1","ENSG00000254673","ENSG00000254673.1","novel protein",58911,623,6,"protein_coding",""
"ENSG00000168522.13","FNTA","ENSG00000168522.13","farnesyltransferase, CAAX box, subunit alpha",51595,22059,80,"protein_coding",""
"ENSG00000185900.11","POMK","ENSG00000185900.11","protein O-mannose kinase",37683,36984,52,"protein_coding","IPR000719"
"ENSG00000165102.15","HGSNAT","ENSG00000165102.15","heparan-alpha-glucosaminide N-acetyltransferase",62392,15751,67,"protein_coding","IPR012429"
"ENSG00000188877.12","POTEA","ENSG00000188877.12","POTE ankyrin domain family member A",71036,4199,27,"protein_coding",""
"ENSG00000164808.17","SPIDR","ENSG00000164808.17","scaffold protein involved in DNA repair",475429,41261,267,"protein_coding","IPR028026"
"ENSG00000221869.5","CEBPD","ENSG00000221869.5","CCAAT enhancer binding protein delta",1252,1252,1,"protein_coding","IPR004827"
"ENSG00000253729.9","PRKDC","ENSG00000253729.9","protein kinase, DNA-activated, catalytic subunit",187068,68114,300,"protein_coding","IPR000403"
"ENSG00000104738.19","MCM4","ENSG00000104738.19","minichromosome maintenance complex component 4",17976,54472,235,"protein_coding",""
"ENSG00000169139.12","UBE2V2","ENSG00000169139.12","ubiquitin conjugating enzyme E2 V2",56294,12037,30,"protein_coding","IPR000608"
"ENSG00000034239.11","CLXN","ENSG00000034239.11","calaxin",24523,10028,44,"protein_coding","IPR002048"
"ENSG00000019549.13","SNAI2","ENSG00000019549.13","snail family transcriptional repressor 2",4143,5634,8,"protein_coding","IPR013087"
"ENSG00000168333.14","PPDPFL","ENSG00000168333.14","pancreatic progenitor cell differentiation and proliferation factor like",21783,4917,20,"protein_coding","IPR026754"
"ENSG00000147481.17","SNTG1","ENSG00000147481.17","syntrophin gamma 1",886904,54536,316,"protein_coding","IPR001478"
"ENSG00000147485.13","PXDNL","ENSG00000147485.13","peroxidasin like",489869,9758,37,"protein_coding",""
"ENSG00000168300.14","PCMTD1","ENSG00000168300.14","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",81612,17574,34,"protein_coding","IPR000682"
"ENSG00000147488.13","ST18","ENSG00000147488.13","ST18 C2H2C-type zinc finger transcription factor",350122,56089,274,"protein_coding","IPR002515"
"ENSG00000196711.9","ALKAL1","ENSG00000196711.9","ALK and LTK ligand 1",31394,1676,9,"protein_coding","IPR029364"
"ENSG00000023287.13","RB1CC1","ENSG00000023287.13","RB1 inducible coiled-coil 1",123386,18765,86,"protein_coding","IPR019460"
"ENSG00000288611.1","NPBWR1","ENSG00000288611.1","neuropeptides B and W receptor 1",4553,4209,2,"protein_coding","IPR000276"
"ENSG00000082556.14","OPRK1","ENSG00000082556.14","opioid receptor kappa 1",25914,14746,19,"protein_coding","IPR000276"
"ENSG00000047249.18","ATP6V1H","ENSG00000047249.18","ATPase H+ transporting V1 subunit H",128016,18329,118,"protein_coding","IPR004908"
"ENSG00000147509.14","RGS20","ENSG00000147509.14","regulator of G protein signaling 20",107509,12536,41,"protein_coding","IPR016137"
"ENSG00000187735.16","TCEA1","ENSG00000187735.16","transcription elongation factor A1",55897,14262,68,"protein_coding","IPR001222"
"ENSG00000120992.18","LYPLA1","ENSG00000120992.18","lysophospholipase 1",55651,15778,93,"protein_coding","IPR003140"
"ENSG00000137547.9","MRPL15","ENSG00000137547.9","mitochondrial ribosomal protein L15",13274,3183,14,"protein_coding","IPR005749"
"ENSG00000164736.6","SOX17","ENSG00000164736.6","SRY-box transcription factor 17",2958,2346,2,"protein_coding","IPR009071"
"ENSG00000104237.11","RP1","ENSG00000104237.11","RP1 axonemal microtubule associated",362299,23053,81,"protein_coding","IPR001024"
"ENSG00000206579.10","XKR4","ENSG00000206579.10","XK related 4",440027,21106,5,"protein_coding","IPR018629"
"ENSG00000167904.16","TMEM68","ENSG00000167904.16","transmembrane protein 68",76984,21423,81,"protein_coding",""
"ENSG00000137574.11","TGS1","ENSG00000137574.11","trimethylguanosine synthase 1",53000,8186,28,"protein_coding","IPR019012"
"ENSG00000254087.8","LYN","ENSG00000254087.8","LYN proto-oncogene, Src family tyrosine kinase",134335,12791,36,"protein_coding","IPR000719"
"ENSG00000008988.11","RPS20","ENSG00000008988.11","ribosomal protein S20",7257,23243,62,"protein_coding","IPR001848"
"ENSG00000172680.1","MOS","ENSG00000172680.1","MOS proto-oncogene, serine/threonine kinase",1041,1041,1,"protein_coding","IPR000719"
"ENSG00000181690.8","PLAG1","ENSG00000181690.8","PLAG1 zinc finger",50416,13492,17,"protein_coding","IPR013087"
"ENSG00000170791.18","CHCHD7","ENSG00000170791.18","coiled-coil-helix-coiled-coil-helix domain containing 7",7124,18686,75,"protein_coding",""
"ENSG00000170786.13","SDR16C5","ENSG00000170786.13","short chain dehydrogenase/reductase family 16C member 5",20772,6923,21,"protein_coding","IPR002347"
"ENSG00000181195.11","PENK","ENSG00000181195.11","proenkephalin",9998,6707,24,"protein_coding","IPR000703"
"ENSG00000104331.9","BPNT2","ENSG00000104331.9","3'(2'), 5'-bisphosphate nucleotidase 2",35937,8295,13,"protein_coding","IPR000760"
"ENSG00000169122.12","FAM110B","ENSG00000169122.12","family with sequence similarity 110 member B",209757,9913,28,"protein_coding","IPR025739"
"ENSG00000215114.10","UBXN2B","ENSG00000215114.10","UBX domain protein 2B",40143,8215,35,"protein_coding","IPR001012"
"ENSG00000167910.4","CYP7A1","ENSG00000167910.4","cytochrome P450 family 7 subfamily A member 1",9986,2877,6,"protein_coding","IPR001128"
"ENSG00000137575.12","SDCBP","ENSG00000137575.12","syndecan binding protein",29936,18312,90,"protein_coding","IPR001478"
"ENSG00000035681.9","NSMAF","ENSG00000035681.9",NA,76346,20226,177,"protein_coding",NA
"ENSG00000198846.6","TOX","ENSG00000198846.6","thymocyte selection associated high mobility group box",313736,4076,9,"protein_coding","IPR009071"
"ENSG00000178538.10","CA8","ENSG00000178538.10","carbonic anhydrase 8",95989,9767,25,"protein_coding","IPR001148"
"ENSG00000104388.15","RAB2A","ENSG00000104388.15","RAB2A, member RAS oncogene family",106709,10878,63,"protein_coding","IPR001806"
"ENSG00000171316.14","CHD7","ENSG00000171316.14","chromodomain helicase DNA binding protein 7",189289,57283,146,"protein_coding","IPR000330"
"ENSG00000177182.11","CLVS1","ENSG00000177182.11","clavesin 1",444488,18766,42,"protein_coding","IPR036273"
"ENSG00000198363.18","ASPH","ENSG00000198363.18","aspartate beta-hydroxylase",214085,51601,263,"protein_coding","IPR007803"
"ENSG00000185942.13","NKAIN3","ENSG00000185942.13","sodium/potassium transporting ATPase interacting 3",765410,42551,63,"protein_coding",""
"ENSG00000137563.13","GGH","ENSG00000137563.13","gamma-glutamyl hydrolase",24527,27877,102,"protein_coding",""
"ENSG00000137561.5","TTPA","ENSG00000137561.5","alpha tocopherol transfer protein",37501,2916,7,"protein_coding","IPR001251"
"ENSG00000185728.17","YTHDF3","ENSG00000185728.17","YTH N6-methyladenosine RNA binding protein F3",44234,36760,71,"protein_coding","IPR007275"
"ENSG00000180828.3","BHLHE22","ENSG00000180828.3","basic helix-loop-helix family member e22",3263,3263,1,"protein_coding","IPR011598"
"ENSG00000172817.4","CYP7B1","ENSG00000172817.4","cytochrome P450 family 7 subfamily B member 1",210975,8049,11,"protein_coding","IPR001128"
"ENSG00000104442.10","ARMC1","ENSG00000104442.10","armadillo repeat containing 1",31760,8979,32,"protein_coding","IPR000225"
"ENSG00000066855.16","MTFR1","ENSG00000066855.16","mitochondrial fission regulator 1",126528,15587,75,"protein_coding",""
"ENSG00000205268.11","PDE7A","ENSG00000205268.11","phosphodiesterase 7A",127989,16034,64,"protein_coding","IPR002073"
"ENSG00000147570.10","DNAJC5B","ENSG00000147570.10","DnaJ heat shock protein family (Hsp40) member C5 beta",79693,5602,20,"protein_coding","IPR001623"
"ENSG00000147573.17","TRIM55","ENSG00000147573.17","tripartite motif containing 55",48590,9305,37,"protein_coding","IPR000315"
"ENSG00000147571.5","CRH","ENSG00000147571.5","corticotropin releasing hormone",2089,1288,2,"protein_coding","IPR000187"
"ENSG00000179041.4","RRS1","ENSG00000179041.4","ribosome biogenesis regulator 1 homolog",1720,1720,1,"protein_coding","IPR007023"
"ENSG00000285655.1","ENSG00000285655","ENSG00000285655.1","novel protein",15140,557,5,"protein_coding","IPR001670"
"ENSG00000285791.1","ENSG00000285791","ENSG00000285791.1","novel transcript",86039,6933,40,"protein_coding",""
"ENSG00000147576.17","ADHFE1","ENSG00000147576.17","alcohol dehydrogenase iron containing 1",36416,19717,140,"protein_coding","IPR001670"
"ENSG00000169085.14","VXN","ENSG00000169085.14","vexin",26199,17636,56,"protein_coding","IPR027900"
"ENSG00000185697.17","MYBL1","ENSG00000185697.17","MYB proto-oncogene like 1",52073,12109,52,"protein_coding","IPR001005"
"ENSG00000175073.8","VCPIP1","ENSG00000175073.8","valosin containing protein interacting protein 1",38745,9956,3,"protein_coding","IPR003323"
"ENSG00000288602.1","C8orf44-SGK3","ENSG00000288602.1","C8orf44-SGK3 readthrough",192877,3577,22,"protein_coding",""
"ENSG00000104205.16","SGK3","ENSG00000104205.16","serum/glucocorticoid regulated kinase family member 3",149289,22982,129,"protein_coding","IPR000719"
"ENSG00000178460.18","MCMDC2","ENSG00000178460.18","minichromosome maintenance domain containing 2",51300,16765,82,"protein_coding","IPR001208"
"ENSG00000261787.2","TCF24","ENSG00000261787.2","transcription factor 24",16091,3165,6,"protein_coding","IPR011598"
"ENSG00000178125.15","PPP1R42","ENSG00000178125.15","protein phosphatase 1 regulatory subunit 42",92506,8700,63,"protein_coding","IPR001611"
"ENSG00000121022.14","COPS5","ENSG00000121022.14","COP9 signalosome subunit 5",40705,19390,82,"protein_coding","IPR000555"
"ENSG00000104218.16","CSPP1","ENSG00000104218.16","centrosome and spindle pole associated protein 1",134362,242280,1422,"protein_coding","IPR026708"
"ENSG00000066777.9","ARFGEF1","ENSG00000066777.9","ADP ribosylation factor guanine nucleotide exchange factor 1",170271,22317,109,"protein_coding","IPR000904"
"ENSG00000165078.13","CPA6","ENSG00000165078.13","carboxypeptidase A6",324341,8694,44,"protein_coding",""
"ENSG00000046889.19","PREX2","ENSG00000046889.19","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2",284987,18442,96,"protein_coding","IPR000219"
"ENSG00000165084.16","C8orf34","ENSG00000165084.16","chromosome 8 open reading frame 34",488069,16444,68,"protein_coding","IPR040687"
"ENSG00000137573.14","SULF1","ENSG00000137573.14","sulfatase 1",194292,40431,189,"protein_coding",""
"ENSG00000137571.11","SLCO5A1","ENSG00000137571.11","solute carrier organic anion transporter family member 5A1",167933,23226,45,"protein_coding","IPR002350"
"ENSG00000147596.4","PRDM14","ENSG00000147596.4","PR/SET domain 14",20043,2691,10,"protein_coding","IPR001214"
"ENSG00000140396.13","NCOA2","ENSG00000140396.13","nuclear receptor coactivator 2",294027,19014,67,"protein_coding","IPR000014"
"ENSG00000067167.8","TRAM1","ENSG00000067167.8","translocation associated membrane protein 1",35199,8399,40,"protein_coding","IPR006634"
"ENSG00000147592.9","LACTB2","ENSG00000147592.9","lactamase beta 2",33868,3369,19,"protein_coding","IPR001279"
"ENSG00000221947.8","XKR9","ENSG00000221947.8","XK related 9",121033,8322,24,"protein_coding",""
"ENSG00000104313.20","EYA1","ENSG00000104313.20","EYA transcriptional coactivator and phosphatase 1",394593,62430,308,"protein_coding","IPR006545"
"ENSG00000178860.9","MSC","ENSG00000178860.9","musculin",2853,2773,6,"protein_coding","IPR011598"
"ENSG00000104321.11","TRPA1","ENSG00000104321.11","transient receptor potential cation channel subfamily A member 1",55668,10155,64,"protein_coding","IPR002110"
"ENSG00000182674.6","KCNB2","ENSG00000182674.6","potassium voltage-gated channel subfamily B member 2",401125,3748,3,"protein_coding","IPR000210"
"ENSG00000147601.15","TERF1","ENSG00000147601.15","telomeric repeat binding factor 1",39268,45198,113,"protein_coding","IPR013867"
"ENSG00000164764.11","SBSPON","ENSG00000164764.11","somatomedin B and thrombospondin type 1 domain containing",59546,5670,10,"protein_coding","IPR000884"
"ENSG00000274443.5","C8orf89","ENSG00000274443.5","chromosome 8 open reading frame 89",18200,1686,11,"protein_coding","IPR040505"
"ENSG00000147604.14","RPL7","ENSG00000147604.14","ribosomal protein L7",5548,7050,37,"protein_coding","IPR005998"
"ENSG00000121039.10","RDH10","ENSG00000121039.10","retinol dehydrogenase 10",30680,7350,19,"protein_coding","IPR002347"
"ENSG00000040341.18","STAU2","ENSG00000040341.18","staufen double-stranded RNA binding protein 2",327340,43222,224,"protein_coding","IPR014720"
"ENSG00000258677.2","ENSG00000258677","ENSG00000258677.2","novel  protein, UBE2W-STAU2 readthrough",190164,776,8,"protein_coding",""
"ENSG00000104343.21","UBE2W","ENSG00000104343.21","ubiquitin conjugating enzyme E2 W",98814,35922,55,"protein_coding","IPR000608"
"ENSG00000154582.18","ELOC","ENSG00000154582.18","elongin C",33139,25986,62,"protein_coding","IPR011333"
"ENSG00000175606.11","TMEM70","ENSG00000175606.11","transmembrane protein 70",10347,5890,22,"protein_coding",""
"ENSG00000154589.7","LY96","ENSG00000154589.7","lymphocyte antigen 96",37688,989,9,"protein_coding","IPR003172"
"ENSG00000104369.5","JPH1","ENSG00000104369.5","junctophilin 1",86841,6801,14,"protein_coding","IPR003409"
"ENSG00000104381.14","GDAP1","ENSG00000104381.14","ganglioside induced differentiation associated protein 1",197395,157050,276,"protein_coding","IPR010987"
"ENSG00000137558.9","PI15","ENSG00000137558.9","peptidase inhibitor 15",30496,11029,17,"protein_coding","IPR001283"
"ENSG00000121005.9","CRISPLD1","ENSG00000121005.9","cysteine rich secretory protein LCCL domain containing 1",50054,9543,49,"protein_coding","IPR001283"
"ENSG00000164749.13","HNF4G","ENSG00000164749.13","hepatocyte nuclear factor 4 gamma",158921,10899,41,"protein_coding","IPR000536"
"ENSG00000091656.19","ZFHX4","ENSG00000091656.19","zinc finger homeobox 4",186043,44249,74,"protein_coding","IPR001356"
"ENSG00000164751.15","PEX2","ENSG00000164751.15","peroxisomal biogenesis factor 2",20787,9127,20,"protein_coding","IPR001841"
"ENSG00000171033.13","PKIA","ENSG00000171033.13","cAMP-dependent protein kinase inhibitor alpha",88928,6286,10,"protein_coding","IPR004171"
"ENSG00000104427.13","ZC2HC1A","ENSG00000104427.13","zinc finger C2HC-type containing 1A",53716,17852,50,"protein_coding","IPR026319"
"ENSG00000104432.15","IL7","ENSG00000104432.15","interleukin 7",129781,11714,52,"protein_coding","IPR001181"
"ENSG00000104435.14","STMN2","ENSG00000104435.14","stathmin 2",55042,3287,16,"protein_coding","IPR000956"
"ENSG00000164683.19","HEY1","ENSG00000164683.19","hes related family bHLH transcription factor with YRPW motif 1",5487,35945,55,"protein_coding","IPR003650"
"ENSG00000147586.10","MRPS28","ENSG00000147586.10","mitochondrial ribosomal protein S28",111573,4986,28,"protein_coding","IPR019375"
"ENSG00000276418.5","ENSG00000276418","ENSG00000276418.5","novel protein, TPD52-MRPS28 readthrough",161916,1527,8,"protein_coding",""
"ENSG00000076554.16","TPD52","ENSG00000076554.16","tumor protein D52",196488,36768,143,"protein_coding","IPR007327"
"ENSG00000205189.13","ZBTB10","ENSG00000205189.13","zinc finger and BTB domain containing 10",40647,32129,26,"protein_coding","IPR000210"
"ENSG00000164684.13","ZNF704","ENSG00000164684.13","zinc finger protein 704",246331,31253,31,"protein_coding","IPR013087"
"ENSG00000076641.4","PAG1","ENSG00000076641.4","phosphoprotein membrane anchor with glycosphingolipid microdomains 1",144259,12299,15,"protein_coding","IPR032748"
"ENSG00000164687.11","FABP5","ENSG00000164687.11","fatty acid binding protein 5",4242,2997,12,"protein_coding","IPR000463"
"ENSG00000147588.7","PMP2","ENSG00000147588.7","peripheral myelin protein 2",7114,4788,7,"protein_coding","IPR000463"
"ENSG00000205186.4","FABP9","ENSG00000205186.4","fatty acid binding protein 9",3327,585,4,"protein_coding","IPR000463"
"ENSG00000170323.9","FABP4","ENSG00000170323.9","fatty acid binding protein 4",4818,2809,14,"protein_coding","IPR000463"
"ENSG00000197416.5","FABP12","ENSG00000197416.5","fatty acid binding protein 12",65159,1891,15,"protein_coding",""
"ENSG00000133731.10","IMPA1","ENSG00000133731.10","inositol monophosphatase 1",29418,12379,92,"protein_coding","IPR000760"
"ENSG00000253598.3","SLC10A5","ENSG00000253598.3","solute carrier family 10 member 5",1428,1428,1,"protein_coding","IPR002657"
"ENSG00000104231.11","ZFAND1","ENSG00000104231.11","zinc finger AN1-type containing 1",31570,23193,139,"protein_coding","IPR000058"
"ENSG00000164695.5","CHMP4C","ENSG00000164695.5","charged multivesicular body protein 4C",27068,1852,5,"protein_coding","IPR005024"
"ENSG00000104497.15","SNX16","ENSG00000104497.15","sorting nexin 16",43286,15447,51,"protein_coding","IPR001683"
"ENSG00000184672.12","RALYL","ENSG00000184672.12","RALY RNA binding protein like",739058,18000,70,"protein_coding","IPR000504"
"ENSG00000133739.16","LRRCC1","ENSG00000133739.16","leucine rich repeat and coiled-coil centrosomal protein 1",38866,16530,87,"protein_coding",""
"ENSG00000133740.11","E2F5","ENSG00000133740.11","E2F transcription factor 5",40005,13460,51,"protein_coding","IPR003316"
"ENSG00000176731.12","RBIS","ENSG00000176731.12","ribosomal biogenesis factor",6374,8029,44,"protein_coding","IPR031389"
"ENSG00000185015.8","CA13","ENSG00000185015.8","carbonic anhydrase 13",63487,7310,25,"protein_coding","IPR001148"
"ENSG00000133742.14","CA1","ENSG00000133742.14","carbonic anhydrase 1",51407,20889,150,"protein_coding","IPR001148"
"ENSG00000164879.7","CA3","ENSG00000164879.7","carbonic anhydrase 3",75605,2937,14,"protein_coding","IPR001148"
"ENSG00000104267.10","CA2","ENSG00000104267.10","carbonic anhydrase 2",17526,4399,27,"protein_coding","IPR001148"
"ENSG00000147614.4","ATP6V0D2","ENSG00000147614.4","ATPase H+ transporting V0 subunit d2",166903,3322,15,"protein_coding",""
"ENSG00000147613.8","PSKH2","ENSG00000147613.8","protein serine kinase H2",41513,3907,9,"protein_coding","IPR000719"
"ENSG00000164893.9","SLC7A13","ENSG00000164893.9","solute carrier family 7 member 13",107084,4063,13,"protein_coding","IPR002293"
"ENSG00000123124.14","WWP1","ENSG00000123124.14","WW domain containing E3 ubiquitin protein ligase 1",135874,15463,102,"protein_coding","IPR000008"
"ENSG00000176623.12","RMDN1","ENSG00000176623.12","regulator of microtubule dynamics 1",46101,15366,112,"protein_coding","IPR011990"
